,title,artist,year,bpm,en,dnce,loud,live,val,dur,acous,speech,pop
1829,Fly Me To The Moon (In Other Words),Frank Sinatra,1962,119,26,67,-14,6,37,147,45,5,77
1830,Stand by Me,Ben E. King,1962,118,31,65,-9,7,61,180,57,4,77
1831,"Oh, Pretty Woman",Roy Orbison,1962,127,60,62,-9,7,96,179,72,3,73
1832,Ring of Fire,Johnny Cash,1963,104,59,66,-8,35,78,158,62,3,71
1833,Blowin' in the Wind,Bob Dylan,1963,175,10,38,-21,6,44,165,91,5,69
1834,In Dreams,Roy Orbison,1963,108,44,50,-10,13,71,169,67,3,57
1835,Twist And Shout - Remastered 2009,The Beatles,1963,125,85,48,-9,4,94,155,64,5,74
1836,Are You Lonesome Tonight,Elvis Presley,1963,66,9,36,-18,11,19,187,92,5,59
1837,I Saw Her Standing There - Remastered 2009,The Beatles,1963,160,80,49,-10,7,97,174,27,4,71
1838,"Don't Think Twice, It's All Right",Bob Dylan,1963,111,24,60,-17,25,47,217,89,4,65
1839,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964,107,22,53,-14,11,33,185,84,3,75
1840,House Of The Rising Sun,The Animals,1964,117,58,30,-7,10,23,271,0,3,69
1841,Folsom Prison Blues,Johnny Cash,1964,111,53,69,-10,28,78,156,19,3,58
1842,The Times They Are A-Changin',Bob Dylan,1964,172,40,39,-8,8,59,192,89,3,69
1843,A Change Is Gonna Come,Sam Cooke,1964,174,38,21,-10,30,45,191,72,3,66
1844,A Hard Day's Night - Remastered 2009,The Beatles,1964,139,81,59,-6,10,80,154,14,4,69
1845,Nathalie,Gilbert Bécaud,1964,135,63,42,-7,59,81,245,75,8,53
1846,Eight Days A Week - Remastered 2009,The Beatles,1964,138,58,65,-8,12,74,164,41,4,66
1847,It's All Over Now - Mono Version,The Rolling Stones,1964,99,69,60,-11,33,76,206,2,3,46
1848,Yesterday - Remastered 2009,The Beatles,1965,97,18,33,-12,9,32,126,88,3,78
1849,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,136,86,72,-8,13,93,223,4,3,77
1850,Like a Rolling Stone,Bob Dylan,1965,95,72,48,-7,19,56,370,73,3,71
1851,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,1965,177,37,43,-12,11,65,125,18,4,69
1852,Help! - Remastered 2009,The Beatles,1965,95,73,53,-8,10,76,140,19,3,73
1853,Unchained Melody,The Righteous Brothers,1965,99,21,34,-17,18,29,218,40,3,70
1854,Michelle - Remastered 2009,The Beatles,1965,117,29,58,-13,11,67,162,65,3,67
1855,Feeling Good,Nina Simone,1965,79,33,40,-9,19,55,174,86,4,74
1856,My Generation - Stereo Version,The Who,1965,97,78,41,-9,8,71,199,31,6,71
1857,In My Life - Remastered 2009,The Beatles,1965,103,44,69,-11,11,44,146,45,3,74
1858,As Tears Go By - Mono Version,The Rolling Stones,1965,113,28,33,-11,18,37,165,72,3,53
1859,It Was A Very Good Year,Frank Sinatra,1965,80,14,22,-15,11,13,267,86,3,62
1860,Time Is On My Side - Mono Version,The Rolling Stones,1965,100,65,53,-9,11,42,179,29,4,53
1861,Little Red Rooster - Mono Version,The Rolling Stones,1965,109,43,72,-12,10,67,186,7,4,47
1862,Mr. Tambourine Man,The Byrds,1965,120,47,46,-10,44,64,149,51,3,62
1863,"Paint It, Black",The Rolling Stones,1966,159,80,46,-9,40,61,202,5,9,78
1864,God Only Knows - Remastered,The Beach Boys,1966,117,49,52,-8,6,48,173,25,3,72
1865,California Dreamin' - Single Version,The Mamas & The Papas,1966,112,61,55,-10,5,64,162,35,3,76
1866,Eleanor Rigby - Remastered 2009,The Beatles,1966,138,28,58,-9,31,81,127,94,4,71
1867,River Deep - Mountain High,Ike & Tina Turner,1966,83,75,39,-7,14,27,215,78,4,57
1868,That's Life,Frank Sinatra,1966,112,44,55,-14,44,63,187,53,7,75
1869,Jumpin' Jack Flash - Mono,The Rolling Stones,1966,137,90,60,-7,7,62,219,4,5,65
1870,Scarborough Fair / Canticle,Simon & Garfunkel,1966,129,25,34,-16,11,30,190,65,3,63
1871,Sloop John B - Remastered,The Beach Boys,1966,126,75,57,-5,9,90,180,40,3,61
1872,Homeward Bound,Simon & Garfunkel,1966,93,38,49,-12,10,53,150,83,3,65
1873,Under My Thumb,The Rolling Stones,1966,127,49,73,-14,9,80,222,30,4,64
1874,I Want You,Bob Dylan,1966,100,68,51,-8,8,79,185,36,4,58
1875,When a Man Loves a Woman,Percy Sledge,1966,97,15,52,-20,12,21,174,13,3,66
1876,Sunny Afternoon - Mono Mix,The Kinks,1966,125,47,60,-8,6,49,211,10,3,67
1877,How Can We Hang On To A Dream,Tim Hardin,1966,127,18,56,-15,15,37,123,83,4,48
1878,"Monday, Monday - Single Version",The Mamas & The Papas,1966,110,46,49,-9,57,71,208,74,3,62
1879,For No One - Remastered 2009,The Beatles,1966,81,35,48,-10,12,71,120,78,3,63
1880,"It's A Man's, Man's, Man's World",James Brown & The Famous Flames,1966,81,24,54,-17,13,57,167,69,4,63
1881,Try a Little Tenderness,Otis Redding,1966,103,13,59,-15,26,7,202,19,6,64
1882,Wouldn't It Be Nice - Stereo Mix,The Beach Boys,1966,125,63,39,-7,13,72,153,72,3,72
1883,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,1967,85,48,20,-5,7,17,269,47,3,68
1884,The End,The Doors,1967,106,30,35,-12,14,3,703,16,3,61
1885,A Day In The Life - Remastered 2009,The Beatles,1967,163,46,36,-14,92,18,337,29,7,67
1886,Brown Eyed Girl,Van Morrison,1967,151,58,49,-11,41,91,183,18,4,79
1887,Respect,Aretha Franklin,1967,115,56,81,-5,5,97,148,16,4,73
1888,White Rabbit,Jefferson Airplane,1967,107,29,55,-13,9,32,151,49,3,69
1889,Penny Lane,The Beatles,1967,114,39,63,-10,10,65,182,41,4,45
1890,Suzanne,Leonard Cohen,1967,132,17,41,-16,11,35,229,92,4,66
1891,Hey Joe,Jimi Hendrix,1967,169,77,35,-6,2,53,210,1,4,71
1892,Good Vibrations - Remastered,The Beach Boys,1967,133,47,40,-8,11,39,219,33,3,71
1893,Light My Fire,The Doors,1967,125,73,41,-6,9,44,430,37,3,72
1894,Strawberry Fields Forever - Remastered 2009,The Beatles,1967,98,50,39,-12,7,29,247,34,18,70
1895,"So Long, Marianne",Leonard Cohen,1967,95,40,54,-11,10,23,341,70,3,62
1896,Little Wing,Jimi Hendrix,1967,71,53,52,-8,5,43,146,18,8,69
1897,The Fool On The Hill - Remastered 2009,The Beatles,1967,144,26,36,-11,11,49,179,91,3,58
1898,People Are Strange,The Doors,1967,119,47,70,-9,32,76,130,69,4,70
1899,The Wind Cries Mary,Jimi Hendrix,1967,80,50,50,-11,20,34,201,35,5,63
1900,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,1967,96,67,45,-9,80,58,123,9,7,65
1901,Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,1967,65,33,31,-9,14,67,208,5,3,69
1902,Purple Haze,Jimi Hendrix,1967,109,91,53,-5,7,49,171,1,8,72
1903,Ruby Tuesday,The Rolling Stones,1967,105,55,52,-11,17,52,196,83,3,63
1904,All You Need Is Love - Remastered 2009,The Beatles,1967,103,48,40,-8,16,65,230,35,3,68
1905,"He Ain't Heavy, He's My Brother",The Hollies,1967,76,44,31,-7,51,22,258,41,3,50
1906,When I'm Sixty Four - Remastered 2009,The Beatles,1967,140,24,70,-13,9,66,158,63,5,65
1907,Somebody Will Know Someday,Cuby & The Blizzards,1967,82,24,55,-14,12,33,413,18,4,37
1908,I Am The Walrus - Remastered 2009,The Beatles,1967,85,56,40,-11,59,65,276,8,5,65
